現slug	新slug候補	title	フラグ
waarudohyouryuuki	world-hyouryuuki	ワールド漂流記	
watashinoiehafutsuu	watashi-no-uchi-wa-futsuu	わたしの家(うち)はフツー	
yamafujishoujinonigaoejuku	yamafuji-shouji-no-nigaoe-juku	山藤章二の似顔絵塾	
yamataikokunodaishinjitsu	yamataikoku-no-dai-shinjitsu	邪馬台国の大真実	
yaminomitsuryoushi	yami-no-mitsuryoushi	闇の密霊師	
yasashisagamenishimiru	yasashisa-ga-me-ni-shimiru	やさしさが目にしみる	
yasujinodochuukenhajikou	yasuji-no-do-chuuken-haji-kou	ヤスジのド忠犬ハジ公	
yomeinisenmanen	yomei-nisen-man-en	余命￥20,000,000-	
yomerabuiesubabara	yomera-vs-babara	ヨメラVSババラ	
yorunokusabueaobanofue	yoru-no-kusabue-aoba-no-fue	夜の草笛/青葉の笛	
yorunoseerusuman	yoru-no-salesman	夜のセールスマン	
youkaidaisensou	youkai-daisensou	妖怪大戦争	
youkishininchou	youki-shininchou	妖棋死人帳	
yubiwamonogatari	yubiwa-monogatari	指環物語	
yumemiruandoroido	yumemiru-android	夢想人形	
yuufoopurinsesuwarukyuure	ufo-princess-walkure	円盤皇女ワるきゅーレ	
yuugioujiiekkusu	yugioh-gx	遊戯王GX	
zenmaishikakenohanzaihakusho	zenmai-shikake-no-hanzai-hakusho	ゼンマイ仕掛けの犯罪白書	
zokutoshishitanoanchikushou	zoku-toshishita-no-anchikushou	続 年下のあンちくしょう	
zoukintohouseki	zoukin-to-houseki	雑巾と宝石	
