slug	title	ours	isbn_implies	madb_candidates	vols	isbn
maho-maho	まほマほ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	3	9784041201640
mahou-no-kenshi-soosaru-fai	魔法の剣士ソーサル=ファイ	バンダイ出版課	バンダイ	バンダイ出版課	1	9784891891978
mahou-senki-lyrical-nanoha-force-dimension	魔法戦記リリカルなのはForce Dimension	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041205990
mahou-senki-lyrical-nanoha-force-touruu-karaado	魔法戦記リリカルなのはForce true colored	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	6	9784041202180
mahou-shoujo-lyrical-nanoha-ace-pootaburu-za-giaazu-obu-destiny-materiarumusume-dash	魔法少女リリカルなのはA's PORTABLE -THE GEARS OF DESTINY-マテリアル娘。 ダッシュ	角川グループホールディングス	KADOKAWA	角川グループホールディングス / 角川書店	1	9784041206805
mahou-shoujo-lyrical-nanoha-ace-pootaburu-za-giaazu-obu-destiny-materiarumusume	魔法少女リリカルなのはA's PORTABLE -THE GEARS OF DESTINY-マテリアル娘。	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041203439
mahou-yashiki	魔法屋敷	リットーミュージック (発売)	リイド社	リットーミュージック (発売) / 立東舎	1	9784845638673
maid-o-nerae	メイドをねらえ!	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	1	9784047124943
maji-de-miira-no-bisuka-chan	マジでミイラのビスカちゃん!	KADOKAWA	角川書店	KADOKAWA / ブシロードワークス	1	9784049211535
maji-de-watashi-ni-koishinasai-afterparty	真剣で私に恋しなさい!!afterparty!!	角川グループホールディングス	KADOKAWA	角川グループホールディングス / アスキー・メディアワークス	5	9784048708388
maji-de-watashi-ni-koishinasai-esu	真剣で私に恋しなさい!S 九鬼紋白編	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041204962
majikyuu-4-koma-maburavu-orutaneiteivu-tootaru-ikuripusu	マジキュー4コマ マブラヴオルタネイティヴトータル・イクリプス	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047285248
majikyuu-4-koma-maji-de-watashi-ni-koishinasai-s	マジキュー4コマ真剣で私に恋しなさい!S	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047284951
majikyuu-4-koma-steins-gate	マジキュー4コマ STEINS;GATE	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	3	9784047267749
majina	マジナ!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	4	9784048673143
majindensetsu	魔神伝説	角川書店	小学館	小学館	4	9784091490018
majipani	まじぱに	ソフトバンク・クリエイティブ	ソフトバンククリエイティブ	ソフトバンク・クリエイティブ / フレックスコミックス	3	9784797348347
majo-marii	魔女マリー	角川グループホールディングス	KADOKAWA	角川グループホールディングス / エンターブレイン	2	9784047289291
majutsu-no-princess-hikita-tenkou	魔術のプリンセス引田天功	星雲社	アース出版局	星雲社 / グローバルネット	1	9784795294233
makai-senki-disgaea-4	魔界戦記ディスガイア4	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048914499
makai-senki-disgaea	魔界戦記ディスガイア	スタジオDNA	一迅社	スタジオDNA / 一賽舎	1	9784758050562
makanai-komusume	まかないこむすめ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048673129
mamagoto	ママゴト	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	3	9784047274730
mame-oyako	まめおやこ	長崎出版	光彩書房	長崎出版	1	9784860952525
mame-sengoku-basara	まめ戦国BASARA	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	5	9784048866675
mameda-sensei	まめだ先生	南の風社	光彩書房	南の風社	2	9784905936565
man-baito-soukuu-ryouiki	マン・バイト蒼空猟域	KADOKAWA (発売)	KADOKAWA	KADOKAWA (発売) / ブシロードメディア	5	9784048995160
manga-atom-hakase-no-soutaisei-riron	まんが・アトム博士の相対性理論	東陽出版	東京三世社	東陽出版	1	9784885931413
manga-daikenkanryuu	マンガ 大嫌韓流	晋遊舎	竹書房	晋遊舎	1	9784801801745
manga-de-rongo	まんがde論語	学習研究社	学校図書	学習研究社	2	9784762508950
manga-de-wakaru-katazuke-plus-shuunoujutsu	マンガでわかる!片づけ+収納術	学研マーケティング	学習研究社	学研マーケティング / 学研パブリッシング	1	9784058001448
manga-de-wakaru-shuunou-plus-seirijutsu	マンガでわかる!収納+整理術	学研マーケティング	学研教育出版	学研マーケティング / 学研パブリッシング	1	9784058002391
manga-igaku-no-rekishi	まんが 医学の歴史	医学書院	潮出版社	医学書院	1	9784260005739
manga-kanban-no-nai-izakaya-seichou-monogatari	マンガ看板のない居酒屋成長物語	現代書林	コスミック出版	現代書林	1	9784774517650
manga-kitachousen	マンガ北朝鮮	英和出版社	ボーダーインク	英和出版社	2	9784899866466
manga-kokoro-no-jugyou	マンガ『心の授業』	北大路書房	学校図書	北大路書房	3	9784762821868
manga-koshien-book-baajon	まんが甲子園ブックバージョン	アイシー	翔泳社	アイシー	1	9784881352496
manga-miyazawa-kenji-monogatari	まんが宮沢賢治物語	そしえて	新声社	そしえて	1	9784881693513
manga-nakamura-tenpuu	マンガ中村天風	講談社コミッククリエイト	講談社	講談社コミッククリエイト	4	9784063647952
manga-nippon-no-shinwa	まんが「日本の神話」	廣池学園事業部	マイクロマガジン社	廣池学園事業部 / モラロジー研究所	1	9784896391060
manga-nippon-sei-kyouiku-talk	マンガ日本性教育トーク	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川学芸出版	1	9784044003067
manga-ohitori-sama-no-enkyori-kaigo-kemonomichi	マンガおひとりさまの遠距離介護けもの道	メディカ出版	メディアファクトリー	メディカ出版	1	9784840449090
manga-ryousai-shii	まんが聊齋志異	フットワーク出版	幸福の科学出版	フットワーク出版	2	9784876890118
manga-saigoku-sanjuu-san-fudasho-kannon-junrei	マンガ 西国三十三札所観音巡礼	三心堂	創映新社	三心堂	1	9784915620416
manga-saiyuuki	マンガ 西遊記	平河出版社	広池学園出版部	平河出版社	2	9784892031618
mangaatomuhakasenokagakutanken	まんが・アトム博士の科学探検	東陽出版	東京三世社	東陽出版	1	9784885931406
mangamuboubiman-ga-yuku	まんが無防備マンが行く!	同時代社	大都社	同時代社	1	9784886835888
mangetsujiyou-e-youkoso	満月城へようこそ	さわらび本工房	モエールパブリッシング	さわらび本工房	1	9784903022017
maou-sama-no-peropero-keikaku	魔王さまのペロペロ計画	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041206003
maou-sama-sekai-ga-oishi-sugite-horobosu-no-o-yameru	魔王様、世界が美味しすぎて滅ぼすのをやめる。	小学館クリエイティブ	ワニマガジン社	小学館クリエイティブ / ヒーローズ	1	9784868050520
maoyuu-4-koma-muitemasenyo-maousama	まおゆう4コマ「向いてませんよ、魔王様」	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	3	9784047278677
maoyuu-maou-yuusha	まおゆう魔王勇者	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	8	9784047276208
marii-antoinette-no-ryourinin	マリー・アントワネットの料理人	集英社	リイド社	集英社	1	9784845852710
marimo-no-hoshi	まりもの星	リットーミュージック	リイド社	リットーミュージック / 立東舎	1	9784845632336
marshmallow-bungaku-girl	ましまろ文學ガール	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	2	9784047279940
maruchuu-tenbatsu-kenkyuukai-seikimatsu-kenkyuujo	〔○誅〕天罰研究会 世紀末研究所	出帆新社	綜合図書	出帆新社	1	9784915497124
marugoto-mame-oyaji	まるごとまめおやじ	東京ニュース通信社	ヴィレッジブックス	東京ニュース通信社	1	9784863362147
masatsu-note-taimashin	魔殺ノート退魔針	幻冬舎	幻冬舎コミックス	幻冬舎 / 幻冬舎コミックス	3	9784344812994
mashou-no-ahosuta-san	マショウのあほすたさん	三和出版	宙出版	三和出版	2	9784776991410
mashumaji	ましゅマジ!	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	1	9784047127432
master-of-epic-comic-side	マスターオブエピックコミックサイド	ソフトバンクパブリッシング	ソフトバンククリエイティブ	ソフトバンクパブリッシング / ビー・ビー・サーブ	1	9784797332995
mata-fuku-kaze	また吹く風	丸善	KTC中央出版	丸善 / 透土社	1	9784924828131
matagi-no-inochi	又鬼の命	三冬社	北辰堂出版	三冬社	1	9784904022313
material-ghost	マテリアルゴースト	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047127722
mato-no-hoshikuzu	魔都の星屑	CLAPコミックス	三交社	CLAPコミックス / 三交社 (発売)	2	9784815530594
matsuoka-kunio-youkai-taiji	松岡國男妖怪退治	角川書店	KADOKAWA	角川グループパブリッシング / 角川書店	4	9784047154049
maya-2004	マヤ	三省堂書店	新声社	三省堂書店 / 創英社	1	9784881421727
mazin-garon	魔神ガロン	講談社	秋田書店	秋田書店	1	9784253061971
mazinger-otome	マジンガー	トレヴィル	リブロポート	トレヴィル	1	9784845705733
mazinkaiser-skl-versus	マジンカイザーSKLヴァーサス	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エモーション	3	9784048992015
mazoku-club-e-youkoso	魔族倶楽部へようこそ!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041205747
megadora-buchou-riruna-chan	メガドラ部長りるなちゃん	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047286795
megami-kourin	女神降臨	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	9	9784909767851
megurikuruharu	めぐりくるはる	ワニマガジン	ワニマガジン社	ワニマガジン	1	9784898293737
meguru-88	めぐる88	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048861465
megurumeku-kisetsu-no-naka-de	めぐるめく季節の中で	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	3	9784866970509
mei-chan-wa-yakiniku-ga-koishii	メイちゃんは焼肉が恋しい	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ / ヒーローズ	3	9784864686532
mei-no-naisho	メイのないしょ	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	4	9784047125544
meiji-no-ibuki	明治の息吹	フロンティアニセン	白夜書房	フロンティアニセン	1	9784861971013
meiji-no-ibuki	明治の息吹	フロンティアニセン	白夜書房	フロンティアニセン	1	9784861971020
meitantei-holmes	名探偵ホームズ	徳間書店スタジオジブリ事業本部	徳間書店	徳間書店スタジオジブリ事業本部	2	9784198616793
meitanteibu-kono-ato-sugu	名探偵部この後すぐ!	角川グループホールディングス	KADOKAWA	角川グループホールディングス / 角川書店	1	9784041206713
menou-no-ryuu	瑪瑙之竜	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	4	9784047267138
meoto-zanmai	夫婦三昧	角川SSコミュニケーションズ	タイムライフブックス	角川SSコミュニケーションズ	1	9784827530568
mera-hakase-no-fushigi-na-hanzai	目羅博士の不思議な犯罪	春陽堂書店	祥伝社	春陽堂書店	1	9784394660040
meriteisu-no-mado	メリティスの窓	保健同人社	芳文社	保健同人社	1	9784832701281
meruru-no-atelier	メルルのアトリエ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041203347
mezase-toudai-tanuko-san	目指せ東大!たぬ子さん	LINE Digital Frontier	TOブックス	LINE / 日販アイ・ピー・エス	3	9784908588464
midori-no-hana	みどりの花	ブッキング	復刊ドットコム	ブッキング	1	9784835442563
midorimachi-2-choume-monogatari	緑町2丁目物語	青磁ビブロス	ビブロス	青磁ビブロス / 青磁ビブロス	2	9784882715818
midorimushi-wa-midori-desuka-mushi-desuka	ミドリムシは植物ですか?虫ですか?	角川グループホールディングス	KADOKAWA	角川グループホールディングス / エンターブレイン	2	9784047288737
miharo-replace	ミハロリプレイス	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041202470
mii-tan	みーたん!	文友舎	楽楽出版	文友舎	1	9784867038000
mimori-san-no-yarashii-okuchi	三森さんのやらしいおくち	日販アイ・ピー・エス (発売)	駒草出版株式会社ダンク出版事業部	日販アイ・ピー・エス (発売) / モバイルメディアリサーチ	4	9784909699138
minna-atsumare-falcom-gakuen	みんな集まれ!ファルコム学園	メディアパル	メディアックス	メディアパル / フィールドワイ	6	9784896102451
mirai-no-arabujin	未来のアラブ人	共栄書房	サンマーク出版	共栄書房 / 花伝社	6	9784763408945
mirimosu-saga	ミリモス・サーガ	Amazia	一二三書房	Amazia / 一二三書房 (発売)	5	9784891997052
mirrorman-2d	ミラーマン2D	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	4	9784864688444
mission-school	Mission!すくーる	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	4	9784047126596
misu-maaberikku-niwa-sakarauna	ミス・マーベリックにはさからうな	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エモーション	1	9784048992138
mitsu-no-aji-watanabe-1982	蜜の味	集英社	ホーム社	集英社 / ホーム社 / ホーム社	1	9784834280999
mitsu-yorusan-wa-succubus-rashii	蜜夜さんはサキュバスらしい	ヒーローズ	ワニマガジン社		1	9784868052166
mitsukuni-sama-ga-yuku	光国さまがゆく!	リブレ	リブレ出版	リブレ	2	9784799725221
miyakawake-no-kuufuku	宮河家の空腹	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041202333
miyako-hido-2012	雅恋	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048865036
mizu-muuchanneru-tonari-no-ban-kowadan	水ムーちゃんねる隣の晩怖談	小学館クリエイティブ	ワニマガジン社		7	9784864682114
mizuiro-splash	水色スプラッシュ	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047125018
mizuki-shigeru-no-kodai-izumo	水木しげるの古代出雲	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041101421
mizuno-junko-no-cinderalla-chan	水野純子のシンデラーラちゃん	光進社	コンパス	光進社 / 光進社	1	9784877610388
mobile-suit-gundam-age-first-evolution	機動戦士ガンダムAGE First Evolution	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	3	9784041201299
mobile-suit-gundam-age-second-evolution	機動戦士ガンダムAGE Second Evolution	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041202500
mobile-suit-gundam-f91	機動戦士ガンダムF91	講談社	小学館	講談社	1	9784093216180
mobile-suit-gundam-flanagan-buun-senki	機動戦士ガンダムフラナガン・ブーン戦記	小学館クリエイティブ	ワニマガジン社	小学館クリエイティブ / ヒーローズ	6	9784864682138
mobile-suit-gundam-hybrid-4-koma-dai-sensen	機動戦士ガンダムハイブリッド4コマ大戦線	角川書店	KADOKAWA	角川グループパブリッシング / 角川書店	5	9784047153714
mobile-suit-gundam-seed-ri	機動戦士ガンダムSEED Re:	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	3	9784041204160
mobile-suit-gundam-uc-hoshizuki-no-kakera	機動戦士ガンダムUC星月の欠片	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041201312
mobile-suit-gundam-uc-testament	機動戦士ガンダムUCテスタメント	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041202111
mobile-suit-gundam-za-emuesubui	機動戦士ガンダムTHE MSV	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	3	9784041200933
moe-hantsu	モエ・ハンっ!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041201787
mogitate-idol-ningen	もぎたて☆アイドル人間	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	3	9784047156708
momo-eno-tegami	ももへの手紙	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041201909
momotarou-kun-wa-iu-koto-o-kikanai	桃太郎くんは言うコトをきかない	LINE Digital Frontier	TOブックス	LINE / 日販アイ・ピー・エス	5	9784908588594
momozono-quartet	桃苑カルテット	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / バンダイビジュアル	1	9784048992282
mondaijitachi-ga-isekai-kara-kuru-soudesuyo-zetto	問題児たちが異世界から来るそうですよ?乙	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 富士見書房	3	9784047128484
mondaijitachi-ga-isekai-kara-kurusoudesuyo	問題児たちが異世界から来るそうですよ?	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	4	9784041205242
monochrome-myst	Monochrome Myst	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048707220
monster-hunter	モンスターハンター 閃光の狩人	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	10	9784047275645
monster-kids-mizuki-chan	モンスターキッズみずきちゃん	メタモル出版	MOE出版	メタモル出版	2	9784895955942
mosa	モサ	講談社	コミックス	講談社	1	9784063133417
moto-iinazuke-wa-akiramenai	元許婚は諦めない!?	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス (発売)	3	9784866971995
moto-saikyou-yuusha-no-sai-shuushoku	元最強勇者の再就職	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	7	9784864681230
motoyan-nouka-no-eichi-ga-yabai	元ヤン農家のHがヤバい!	日販アイ・ピー・エス (発売)	駒草出版株式会社ダンク出版事業部	日販アイ・ピー・エス (発売) / モバイルメディアリサーチ	2	9784909699312
motteta-tokoro-de-nani-ni-naru	持ってたところで何になる?	かもがわ出版	ポット出版	かもがわ出版	1	9784780313277
motto-atsumare-falcom-gakuen	も～っと集まれ!ファルコム学園	メディアパル (発売)	イカロス出版	メディアパル / フィールドワイ	4	9784802131384
mou-ichido-aitai	もう一度あいたい	興陽館	海王社	興陽館	1	9784877232054
moujuu-yakuza-to-doukyo-seikatsu	猛獣ヤクザと同居生活!?	日販アイ・ピー・エス (発売)	駒草出版	日販アイ・ピー・エス (発売) / モバイルメディアリサーチ	2	9784909699107
mousou-shuin-shoujo	妄想手淫少女	鉄人社 (発売)	ガイドワークス	鉄人社 (発売) / ゲネシス	1	9784865377064
muchashi-to-13-nin-no-kamakura-jidai	無茶四と13人の鎌倉時代	かまくら春秋社	コスミック出版	かまくら春秋社	1	9784774008479
muchashi	無茶四	そしえて	新声社	そしえて	1	9784881693506
mugendai-no-hibi	無限大の日々	駒草出版	駒草出版株式会社ダンク出版事業部	駒草出版	1	9784905447931
mujintou-no-kairaku	無人島の快楽	清流出版	さくら出版	清流出版 / 清流出版	1	9784916028211
murasaki	ムラサキ	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	5	9784909767011
murasakiiro-no-qualia	紫色のクオリア	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048864121
mushiokuri-no-miko	虫葬りの巫女	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	4	9784864681278
muv-luv-alternative	マブラヴオルタネイティヴ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	17	9784048670494
my-gardener	マイガーデナー	集英社	創美社	集英社 / 集英社クリエイティブ	1	9784420250214
myutosu-ikai-e-izanau-24-no-shoutaijou	Μψτηοσ 異界へ誘う24の招待状	創英社/三省堂書店	新声社	創英社/三省堂書店	1	9784881425589
nagai-gou-maboroshi-no-shousetsu-sashieshuu	永井豪幻の小説挿絵集	プラネット出版	フリースタイル	プラネット出版	1	9784939110153
nagamori-kun-ga-ichizusugite-komaru	永守くんが一途すぎて困る。	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス (発売)	3	9784866972121
nagareboshi-ga-ochiru-soko-de-mattete	流れ星が落ちるそこで待ってて	文響社	シュークリーム		1	9784868451037
nagasaki-ni-kichatta	長崎に来ちゃった!	長崎新聞社	虹の旅出版	長崎新聞社	2	9784931493759
naiteru-kimi-ga-1-ban-daisuki	泣いてる君が1番大好き	れんが書房新社	鹿砦社	れんが書房新社 / 道玄坂書房	1	9784846210120
nakasu-utanikki	中洲歌日記	福岡明林	若葉社出版	福岡明林	2	9784795223233
nakazawa-deka-chosakushuu	中沢啓治著作集	DINO BOX	笠倉出版社	DINOBOX / 垣内出版	4	9784773404036
naki-warai-risshin-shusse-gekijou	泣き笑い立身出世劇場	駸々堂出版	祥伝社	駸々堂出版	1	9784397501760
namachuu	なまちゅー。	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041204436
namae-no-nai-kaibutsu	名前のない怪物	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	7	9784866970165
nan-sama-to-ren	ナン様とレン	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048866958
nanairo-inko	七色いんこ	講談社	秋田書店	秋田書店	1	9784253173384
nanamikusu	ななみくす!	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	3	9784047125803
nanatsusa	ななつさ	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048676229
nanohana-batake-no-mukou-to-kochira	菜の花畑のむこうとこちら	ヘルスワーク協会	ハイランド	ヘルスワーク協会	1	9784938844103
nantonaku-densetsu-no-yuusha-no-densetsu	なんとなく伝説の勇者の伝説	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	1	9784047125926
narcissus-black	ナーシサス・ブラック	主婦と生活社	宙出版	主婦と生活社 / 宙出版	1	9784391913729
nareru-esuii	なれる!SE	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	4	9784047279445
nariagari	成りあがり	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	3	9784047250406
natsu-no-zanzou	夏の残像	凱風社	笠倉出版社	凱風社	1	9784773632095
natsuki-shizuko-sasupensu	夏樹静子サスペンス	宙出版	主婦と生活社	宙出版	2	9784391904772
natsume-fusanosuke-no-renaigaku	夏目房之介の恋愛学	ネスコ	日本出版社	ネスコ	1	9784890367764
nazo-no-hesojima	なぞのヘソ島	アリス館	スクウェア・エニックス	アリス館	1	9784752060017
nazo-no-mizu-souchi	謎の水装置	暗黒通信団	あおば出版	暗黒通信団	2	9784873102351
nee-isshiki-kun-watashi-no-koto-suki-deshou	ねぇ一色くん、私のこと好きでしょう?	BookLive	フレックスコミックス	BookLive / フレックスコミックス (発売)	3	9784866752969
nehime-no-toki	ねひめのとき	神戸新聞総合出版センター	幻冬舎	神戸新聞総合出版センター	1	9784343007919
neko-ga-boku-ni-oshiete-kureta-koto	猫が僕に教えてくれたコト	主婦の友社	メディアワークス	主婦の友社 / はちどり	5	9784074306114
neko-ga-iru-shiawase	猫がいるしあわせ	アチーブメント出版	ポット出版プラス	アチーブメント出版	2	9784866430232
neko-no-fushigibanashi	ねこのふしぎ話	興陽館	海王社	興陽館	1	9784877232771
neko-no-oshigoto	ねこのおしごと	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	2	9784864681643
neko-souri	ねこ総理	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	1	9784048861489
nekodamashi	ネコダマシ	講談社 (発売)	講談社	講談社 (発売) / 星海社	2	9784065309551
nekodoku-holic	猫毒HOLIC	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041102893
nemurenu-yoru-wa-ubaini-kitene	眠れぬ夜は奪いに来てね	CLAPコミックス	三交社	CLAPコミックス / 三交社 (発売)	2	9784815530365
nerawareta-gakuen	ねらわれた学園	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041204818
nezumi-san-no-nagai-pan	ねずみさんのながいパン	こぐま社	ゴルフダイジェスト社	こぐま社	1	9784772101561
nezumi-san-no-okaimono	ねずみさんのおかいもの	こぐま社	ゴルフダイジェスト社	こぐま社	1	9784772101998
nibiiro-no-hako-no-naka-de	鈍色の箱の中で	LINE Digital Frontier	TOブックス	LINE / 日販アイ・ピー・エス	7	9784908588280
niea-7-recycle	NieA_7 recycle	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041204375
nigakute-amai-refrain	にがくてあまいrefrain	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ / ヒーローズ	7	9784864687096
nigirizushi-san-oku-nen	にぎり寿司三億年	小学館	小学館クリエイティブ	小学館 / 小学館クリエイティブ	1	9784778030636
nihongun-koukuu-senki	日本軍航空戦記	学研マーケティング	学習研究社	学研マーケティング / 学研パブリッシング	1	9784056070743
nihon-youkai-taizen	日本妖怪大全	コミックス	講談社	コミックス	1	9784063195460
niigata-manga-taishou-sakuhinshuu	にいがたマンガ大賞作品集	新潟市マンガ振興協会	新潟市マンガ振興協会にいがたマンガ大賞実行委員会	新潟市マンガ振興協会	2	9784902565010
nijiiro-bakuhatsu-musume	虹色〔音符〕爆発娘❤	主婦と生活社	宙出版	主婦と生活社 / 宙出版	1	9784391913682
nijiiro-majutsu-tanteidan	虹色魔術探偵団	Gakken	学習研究社	Gakken	1	9784051037390
nijino-san-no-white-swan	虹野さん家のホワイトスワン	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	2	9784041204214
nikkan-tenshoku-panic	日刊転職パニック	サークル出版社	共栄	サークル出版社	1	9784795218321
niko-nikoruson-no-otona-manga	ニコ・ニコルソンのオトナ☆漫画	エムオン・エンタテインメント	ソニー・マガジンズ	エムオン・エンタテインメント	1	9784789735643
nikoichi	にこいち!!	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / 角川書店	1	9784041204801
ningen-shikkaku-ito-2010	人間失格	学研マーケティング	学研教育出版	学研マーケティング / 学研パブリッシング	1	9784059006152
ninja-bugeichou	忍者武芸帳	小学館	小学館クリエイティブ	小学館 / 小学館クリエイティブ	17	9784778060015
nippon-no-rekishi-manga-jinbutsuden	日本の歴史 まんが人物伝	学研	学研教育出版	学研	1	9784052030383
niwa-no-zabutoninu	庭のざぶとん犬	虹有社	講談社インターナショナル	虹有社	2	9784770900708
niwatori-fighter	ニワトリ・ファイター	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ (発売) / ヒーローズ	11	9784864688017
noble-children-no-zankoku	ノーブルチルドレンの残酷	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048913430
nobunaga-ibun-hi-no-kaze	〈信長異聞〉緋の風	シュフトセイカツシャ	主婦と生活社	シュフトセイカツシャ / 宙出版	1	9784391914269
nogiku-no-haka-chinen2010	野菊の墓	ホーム社（千代田区）	ホーム社	集英社 / ホーム社	1	9784834263282
nomizukushi-sakezukushi	呑みづくし酒づくし	健友館	芸文社	健友館	3	9784874611807
non-chan-to-akari	のんちゃんとアカリ	小学館クリエイティブ (発売)	小学館クリエイティブ	小学館クリエイティブ / ヒーローズ	3	9784864687386
nonnonbaa-kappa-no-mizu	のんのんばあカッパの水	ビリケン出版	フリースタイル	ビリケン出版	1	9784939029448
nonnonbaa-obake-dorobou	のんのんばあおばけどろぼう	文研出版	平凡社	文研出版	1	9784580820197
