分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
HEAD(前半別社)	kage-no-kyuutei-majutsushi	影の宮廷魔術師	None	ガルドコミックス	オーバーラップ	8	97848240x6	978486554x2	9784865548327,9784865549881
HEAD(前半別社)	kajou-mousou-shounen	過剰妄想少年	None	Baby comics	ふゅーじょんぷろだくと	4	978486589x3	978489393x1	9784893939593
HEAD(前半別社)	kamen-rider	仮面ライダー	None	講談社カラーコミックス	メディアファクトリー	3	978488991x2	978412x1	9784120018848
HEAD(前半別社)	kankyou-hogotai-mottai-9	環境保護隊モッタイ9	None	Flex comix	ほるぷ出版	3	9784593x2	97847973x1	9784797367812
HEAD(前半別社)	kao-ni-doro-o-nuru	顔に泥を塗る	None	タタン	コアミックス	8	978486720x5	97848019x3	9784801971882,9784801973428,9784801974623
HEAD(前半別社)	kashimashi-house	かしましハウス	None	Bamboo comics	竹書房	8	97848124x6	978488475x2	9784884757366,9784884758417
HEAD(前半別社)	katainaka-no-otsu-san-kensei-ni-naru-gaiden-hajimari-no-mahou-kenshi	片田舎のおっさん、剣聖になる外伝はじまりの魔法剣士	None	ガンガンコミックスup!	スクウェア・エニックス	3	9784301x2	97847575x1	9784757597754
HEAD(前半別社)	katainaka-no-otsu-san-kensei-ni-naru-gaiden-ryuu-souken-no-kiseki	片田舎のおっさん、剣聖になる外伝竜双剣の軌跡	None	ヤングガンガンコミックス	スクウェア・エニックス	3	9784301x2	97847575x1	9784757597761
HEAD(前半別社)	katakoi-canon	カタコイ・カノン	None	Bamboo comics	竹書房	3	97848019x2	97848124x1	9784812481875
HEAD(前半別社)	katakoi-saburou	片恋さぶろう	None	劇画キングシリーズ	スタジオ・シップ	6	978488315x5	978486225x1	9784862253552
HEAD(前半別社)	kazoku-game	家族ゲーム	None	Dengeki Comics EX	角川グループパブリッシング	14	978404x11	97848402x3	9784840236577,9784840239530,9784840242134
HEAD(前半別社)	kekkoona-otemae-desu	ケッコーなお手前です。	None	Avarus series	マッグガーデン	3	97848000x2	978486127x1	9784861279287
HEAD(前半別社)	kemeko-dx	ケメコデラックス!	None	DENGEKI COMICS	角川グループパブリッシング	9	978404x6	97848402x3	9784840235020,9784840237499,9784840240086
HEAD(前半別社)	kemonomichi-kagemaru-1980	けものみち	None	文華コミックス	日本文華社	10	97848211x9	9784408x1	9784408165936
HEAD(前半別社)	kemonoshima	ケモノシマ	None	MFコミックス	KADOKAWA	3	978404x2	97848401x1	9784840150613
HEAD(前半別社)	kenja-no-deshi-o-nanoru-kenja	賢者の弟子を名乗る賢者	None	Ride Comics	マイクロマガジン社	15	978486716x9	978489637x6	9784896376203,9784896376654,9784896377460,9784896378405,9784896378955,9784896379
HEAD(前半別社)	kenja-no-nagaki-fuzai	賢者の長き不在	None	Blade comics	マッグガーデン	8	978486127x5	9784901926x3	9784901926058,9784901926270,9784901926607
HEAD(前半別社)	kenminsei-maruwakari-gotouchi-aruaru-waidoshou	県民性丸わかり!ご当地あるあるワイドSHOW	None	BAMBOO ESSAY SELECTION	竹書房	4	97848019x3	97848124x1	9784812497531
HEAD(前半別社)	kichiku-eiyuu	鬼畜英雄	None	NOVA COMICS	一二三書房	15	97848242x10	978489199x5	9784891997946,9784891998219,9784891999018,9784891999025,9784891999704
HEAD(前半別社)	kichikujima	鬼畜島	None	Bamboo comics	LINE Digital Frontier	24	978486697x14	9784909767x10	9784909767707,9784909767714,9784909767721,9784909767790,9784909767806,9784909767
HEAD(前半別社)	kick-off	キックオフ	None	ジャンプ・コミックス	集英社	12	978408x9	97848342x3	9784834212518,9784834212525,9784834212532
HEAD(前半別社)	kidai-no-akujo-sandome-no-jinsei-de-musai-munou-o-tanoshimu	稀代の悪女、三度目の人生で【無才無能】を楽しむ	None	ガンガンコミックスonline	スクウェア・エニックス	3	9784301x2	97847575x1	9784757598997
HEAD(前半別社)	kikan-gentei-daiyon-kishidan-no-kitchen-maid-kekkon-shitakunai-node-shuushoku-shimashita-comic	期間限定、第四騎士団のキッチンメイド～結婚したくないので就職しました～@COMIC	None	コロナ・コミックス	TOブックス	3	978486794x2	978486699x1	9784866999562
HEAD(前半別社)	kimagure-na-jaguar	気まぐれなジャガー	None	arca comics	Jパブリッシング	4	978486669x3	9784908757x1	9784908757594
HEAD(前半別社)	kimi-no-tame-nara-shineru	姫のためなら死ねる	None	Bamboo comics	竹書房	14	97848019x10	97848124x4	9784812475614,9784812477618,9784812481714,9784812485491
HEAD(前半別社)	kimi-wa-kirei-na-ahiru-no-ko	君は綺麗なアヒルの子	None	LINE COMICS	LINE Digital Frontier	5	9784909767x3	9784908588x2	9784908588396,9784908588488
HEAD(前半別社)	kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	None	バーズコミックス	幻冬舎	6	9784344x4	97847962x2	9784796297318,9784796297479
HEAD(前半別社)	kirishima-kun-wa-ijimetai	桐島くんはいじめたい	None	Tulle Comics	ブライト出版	3	978486787x2	978486123x1	9784861239786
HEAD(前半別社)	kisei-juui-suzune	寄性獣医・鈴音	None	Bamboo comics	竹書房	14	97848019x8	97848124x6	9784812464113,9784812468555,9784812472736,9784812475942,9784812477526,9784812480
HEAD(前半別社)	kisetai-joushi-to-narenai-buka	着せたい上司と、なれない部下	None	クリエコミックス	オーバーラップ	3	97848240x2	978486554x1	9784865549713
HEAD(前半別社)	kiss-ariki	キスアリキ。	None	Super be×boy comics	リブレ出版	3	97847997x2	978486263x1	9784862639349
HEAD(前半別社)	koi-to-makoto-to-asagiiro	恋とマコトと浅葱色	None	LINE COMICS	LINE Digital Frontier	3	978486697x2	9784909767x1	9784909767844
HEAD(前半別社)	koi-towa-yobenai	恋とは呼べない	None	Be-boy comics	リブレ出版	3	97847997x2	978486263x1	9784862638793
HEAD(前半別社)	koisuru-bou-kun	恋する暴君	None	Gush comics	海王社	16	97847964x10	978487724x6	9784877243982,9784877244309,9784877244835,9784877248444,9784877241292,9784877241
HEAD(前半別社)	kokodake-no-futari	ここだけのふたり!!	None	None	竹書房	5	97848124x3	978488475x2	9784884750459,9784884757533
HEAD(前半別社)	kokuryuu-sama-no-minarai-hanayome	黒龍さまの見習い花嫁	None	ネクストFコミックス	ジャイブ (発売)	11	978486715x10	978486176x1	9784861769788
HEAD(前半別社)	koma-ga-mau	駒が舞う	None	COMICMATE	日本文華社	5	97848211x4	9784916085x1	9784916085191
HEAD(前半別社)	konyaku-haki-shitai-node-akuyaku-reijou-enjimasu	婚約破棄したいので悪役令嬢演じます	None	SDC YLシリーズ	青泉社	10	978486778x7	9784910429x3	9784910429397,9784910429601,9784910429991
HEAD(前半別社)	koukyuu-no-hanamusubi-shi	後宮の花結師	None	ガンガンコミックスup!	スクウェア・エニックス	3	9784301x2	97847575x1	9784757598768
HEAD(前半別社)	koware-skill-de-hajimeru-gendai-dungeon-kouryaku	壊れスキルで始める現代ダンジョン攻略	None	ガルドコミックス	オーバーラップ	4	97848240x3	978486554x1	9784865549188
HEAD(前半別社)	kuma-to-usagi-wa-tomodachi-dewa-irarenai	クマとウサギは友達ではいられない	None	ガンガンコミックスpixiv	スクウェア・エニックス	4	9784301x3	97847575x1	9784757599239
HEAD(前半別社)	kumamiko	くまみこ	None	MFコミックス	KADOKAWA	20	978404x19	97848401x1	9784840153423
HEAD(前半別社)	kumichou-musume-to-sewagakari	組長娘と世話係	None	コミックELMO	マイクロマガジン社	16	978486716x13	978489637x3	9784896378498,9784896379006,9784896379679
HEAD(前半別社)	kuooto-ando-half	1/4×1/2	None	眠れぬ夜の奇妙な話コミックス	朝日新聞出版	7	978402x5	9784257x2	9784257901792,9784257902904
HEAD(前半別社)	kuro-no-shoukanshi	黒の召喚士	None	ガルドコミックス	オーバーラップ	24	97848240x14	978486554x10	9784865543667,9784865544190,9784865544855,9784865545395,9784865545791,9784865546
HEAD(前半別社)	kurokami-no-maria	黒髪のマリア	None	いち・ラキ・コミックス	冬水社	3	978486423x2	978488741x1	9784887419674
HEAD(前半別社)	kuusou-kagaku-edison	空想科学エジソン	None	バーズコミックスデラックス	幻冬舎	3	9784344x2	97847897x1	9784789783453
HEAD(前半別社)	kuusou-kagaku-x	空想科学X	None	Dengeki Comics EX	角川グループパブリッシング	5	978404x4	97848402x1	9784840240956
HEAD(前半別社)	kyou-mo-tsukiyo-ni-kimi-no-meshi	今日も月夜に君のめし	None	OUR FEEL COMICS	シュークリーム	3	978486846x2	9784910526x1	9784910526980
HEAD(前半別社)	kyoukai-meikyuu-to-ikai-no-majutsushi	境界迷宮と異界の魔術師	None	ガルドコミックス	オーバーラップ	16	97848240x10	978486554x6	9784865544558,9784865545159,9784865545944,9784865547085,9784865548358,9784865549
HEAD(前半別社)	lettuce-burger-please-ok-ok	レタスバーガープリーズ.OK,OK!	None	None	集英社	10	978408x9	9784309x1	9784309278049
HEAD(前半別社)	little-busters-the-4-koma	リトルバスターズ!The 4コマ	None	Dengeki Comics EX	角川グループパブリッシング	4	978404x3	97848402x1	9784840240192
HEAD(前半別社)	loop-7-kaime-no-akuyaku-reijou-wa-mototekikoku-de-jiyuu-kimama-na-hanayome-seikatsu-o-mankitsu-suru	ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する	None	ガルドコミックス	オーバーラップ	7	97848240x6	978486554x1	9784865549522
HEAD(前半別社)	love-control	恋愛操作	None	Super be-boy comics	リブレ	9	97847997x6	978486263x3	9784862630636,9784862632036,9784862637819
HEAD(前半別社)	lv2-kara-cheat-datta-moto-yuusha-kouho-no-mattari-isekai-life	Lv2からチートだった元勇者候補のまったり異世界ライフ	None	ガルドコミックス	オーバーラップ	14	97848240x9	978486554x5	9784865545272,9784865546057,9784865547078,9784865548341,9784865549676
HEAD(前半別社)	made-in-abyss	メイドインアビス	None	Bamboo comics	竹書房	14	97848019x12	97848124x2	9784812483800,9784812487167
HEAD(前半別社)	mae-kousetsu-hyakumonogatari	前巷説百物語	None	None	リイド社	3	97848458x2	978404x1	9784048737692
HEAD(前半別社)	maeda-deka-kabuki-tabi	前田慶次かぶき旅	None	ゼノンコミックス	コアミックス	22	978486720x20	978419x2	9784199805844,9784199806087
HEAD(前半別社)	mahou-sensou	魔法戦争	None	MFコミックス	KADOKAWA	6	978404x5	97848401x1	9784840153171
HEAD(前半別社)	mahou-shoujo-pretty-bell	魔法少女プリティ☆ベル	None	Blade comics	マッグガーデン	28	97848000x21	978486127x7	9784861277337,9784861277719,9784861278037,9784861278563,9784861279027,9784861279
HEAD(前半別社)	maihime	舞姫	None	MFコミックス	メディアファクトリー	10	97848401x9	978488991x1	9784889917871
HEAD(前半別社)	makikomarete-isekai-teni-suru-yatsu-wa-taitei-cheat	巻き込まれて異世界転移する奴は、大抵チート	None	このマンガがすごい!comics	宝島社	14	9784299x10	97848002x4	9784800279187,9784800283597,9784800288257,9784800297143
HEAD(前半別社)	mameneko	まめねこ	None	None	さくら舎	10	978486581x6	9784906732x4	9784906732470,9784906732586,9784906732814,9784906732982
HEAD(前半別社)	mamotte-shugo-getten-saihou	まもって守護月天! 再逢	None	Blade comics	マッグガーデン	6	978486127x4	9784901926x2	9784901926232,9784901926621
HEAD(前半別社)	manga-gokudou	まんが極道	None	BEAM COMIX	エンターブレイン	7	978404x4	97847577x3	9784757735507,9784757741812,9784757748408
HEAD(前半別社)	manga-kenkanryu	マンガ嫌韓流	None	晋遊舎ムック	晋遊舎	4	978488380x3	978486391x1	9784863912380
HEAD(前半別社)	manyuu-hikenchou	魔乳秘剣帖	None	TECHGIAN STYLE	エンターブレイン	7	978404x4	97847577x3	9784757734876,9784757740051,9784757744967
HEAD(前半別社)	maou-reijou-no-kyouikugakari	魔王令嬢の教育係	None	ポルカコミックス	一二三書房	6	97848242x5	978489199x1	9784891998295
HEAD(前半別社)	maps	マップス	None	Flex comix	学習研究社	15	978405x12	97847973x3	9784797350487,9784797351118,9784797352184
HEAD(前半別社)	marshmallow-taimusu	マシュマロ通信	None	None	ジャイブ	9	978486176x6	9784902314x3	9784902314601,9784902314656,9784902314793
HEAD(前半別社)	megami-kourin	女神降臨	None	LINE COMICS	LINE Digital Frontier	9	978486697x8	9784909767x1	9784909767851
HEAD(前半別社)	meshinuma	めしぬま。	None	ゼノンコミックス	コアミックス	16	978486720x10	978419x6	9784199803857,9784199804144,9784199804670,9784199804946,9784199805516,9784199806
HEAD(前半別社)	migawari-de-totsuida-reikoku-kokuou-wa-hatsukoi-aite-deshita	身代わりで嫁いだ冷酷国王は初恋相手でした	None	ガンガンコミックスup!	スクウェア・エニックス	3	9784301x2	97847575x1	9784757599352
HEAD(前半別社)	migawari-kon-no-koukyuu-hi-wa-koutei-heika-ni-nigashite-moraenai	身代わり婚の後宮妃は皇帝陛下に逃がしてもらえない	None	SDC YLシリーズ	青泉社	3	978486778x2	9784910429x1	9784910429847
HEAD(前半別社)	miko-to-kagaku-no-uso-happyakuman	巫女と科学の嘘八百万	None	Flex comix	ほるぷ出版	3	9784593x2	97847973x1	9784797365900
HEAD(前半別社)	minamikamakura-koukou-joshi-jitenshabu	南鎌倉高校女子自転車部	None	Blade comics	マッグガーデン	11	97848000x10	978486127x1	9784861279317
HEAD(前半別社)	minikui-yuukaku-no-ko	みにくい遊郭の子	None	LAVARE comics	一二三書房	9	97848242x5	978489199x4	9784891998677,9784891998684,9784891999629,9784891999636
HEAD(前半別社)	mizu-muuchanneru-tonari-no-ban-kowadan	水ムーちゃんねる隣の晩怖談	None	HCヒーローズコミックス	小学館クリエイティブ	8	978486805x5	978486468x3	9784864682114,9784864682534,9784864682787
HEAD(前半別社)	mizu-no-mori-ki-tan	水の森綺譚	None	MOEコミックス	偕成社	4	978403x3	978489594x1	9784895943062
HEAD(前半別社)	mizu-zokusei-no-mahoutsukai-comic	水属性の魔法使い@COMIC	None	コロナ・コミックス	TOブックス	8	978486794x5	978486699x3	9784866994758,9784866997087,9784866999043
HEAD(前半別社)	mob-douzen-no-akuyaku-reijou-wa-dansou-shite-kouryaku-taishou-no-za-o-comic	モブ同然の悪役令嬢は男装して攻略対象の座を狙う@COMIC	None	コロナ・コミックス	TOブックス	3	978486794x2	978486699x1	9784866998879
HEAD(前半別社)	mobile-suit-gundam-flanagan-buun-senki	機動戦士ガンダムフラナガン・ブーン戦記	None	HCヒーローズコミックス	小学館クリエイティブ	7	978486805x5	978486468x2	9784864682138,9784864682602
HEAD(前半別社)	mobu-joshikousei-no-ore-demo-boukensha-ni-nareba-riajuu-ni-naremasu-ka	モブ高生の俺でも冒険者になればリア充になれますか?	None	NOVA COMICS	一二三書房	8	97848242x5	978489199x3	9784891997854,9784891998424,9784891999674
HEAD(前半別社)	mobuko-no-koi	モブ子の恋	None	ゼノンコミックス	コアミックス	26	978486720x20	978419x6	9784199804519,9784199804793,9784199805059,9784199805455,9784199805752,9784199806
HEAD(前半別社)	moeyo-sensha-gakkou	萌えよ!戦車学校	None	None	イカロス出版	4	978486320x3	978487149x1	9784871497695
HEAD(前半別社)	moko-to-yuganda-satsujinkidomo	モコと歪んだ殺人鬼ども	None	MFコミックス	KADOKAWA	5	978404x4	97848401x1	9784840150514
HEAD(前半別社)	monster-and-ghost	モンスターアンドゴースト	None	B.Pilz comics	ブライト出版	3	978486787x2	978486123x1	9784861239960
HEAD(前半別社)	morita-san-wa-mukuchi	森田さんは無口	None	Bamboo comics	竹書房	22	97848019x14	97848124x8	9784812470213,9784812472965,9784812475140,9784812476024,9784812477328,9784812480
HEAD(前半別社)	moto-heroine-mob-ni-naru	元ヒロイン、モブになる	None	OUR FEEL COMICS	シュークリーム	3	978486846x2	9784910526x1	9784910526997
HEAD(前半別社)	moto-kizoku-reijou-de-mikon-no-haha-desu-musumetachi-ga-kawaisugite-boukenshagyou-mo-ku-ni	元貴族令嬢で未婚の母ですが、娘たちが可愛すぎて冒険者業も苦になりません@COMIC	None	コロナ・コミックス	TOブックス	3	978486699x2	978486472x1	9784864729505
HEAD(前半別社)	moto-saikyou-no-kenshi-wa-isekai-mahou-ni-akogareru	元最強の剣士は、異世界魔法に憧れる	None	Ride Comics	マイクロマガジン社	11	978486716x8	978489637x3	9784896378429,9784896378870,9784896379600
HEAD(前半別社)	mousou-elektel	妄想エレキテル	None	ドラコミックス	コアマガジン	4	978486436x3	978486252x1	9784862526755
HEAD(前半別社)	mousou-kagyou-no-michinaga-san	妄想稼業の道長さん	None	MFコミックス	KADOKAWA	3	978404x2	97848401x1	9784840150620
HEAD(前半別社)	ms-saga	MS SAGA	None	B-club comic	メディアワークス	10	978407x7	978489189x3	9784891892036,9784891895044,9784891895150
HEAD(前半別社)	mugen-shinshi	夢幻紳士	None	None	徳間書店	10	978419x9	978415x1	9784152087164
HEAD(前半別社)	mugyu-hagu-dakede-iki-sou	むぎゅ…ハグだけでイキそう!?	None	Shusui digital comics TL (teens love) シリーズ	青泉社	4	9784910429x3	9784907203x1	9784907203955
HEAD(前半別社)	murasaki	ムラサキ	None	LINE COMICS	LINE Digital Frontier	5	978486697x3	9784909767x2	9784909767011,9784909767783
HEAD(前半別社)	murikon	ムリ婚。	None	ジュネットコミックス	ジュネット	4	9784910582x3	9784909460x1	9784909460646
HEAD(前半別社)	muteki-no-kodomotachi	無敵の子供たち	None	Generous comics	桜桃書房	4	97847567x3	978487183x1	9784871839648
HEAD(前半別社)	muteki-no-tsuaratousutora	無敵のツァラトゥストラ	None	Avarus series	マッグガーデン	3	97848000x2	978486127x1	9784861279843
