base	verdict	src	n_pages	titles	outliers	evidence	isbn_audit	reps	rekey
lost-universe	merge_all	year_SAME_READING	2	ロスト・ユニバース || ロスト・ユニバース		両page共『ロスト・ユニバース』3巻=原作神坂一/作画義仲翔子(KADOKAWAドラゴンJr.)。author『ドラゴンマガジン編集部』は誌面creditで同一作。Wikipedia/cmoa84240/Amazon4047121576。	版違い疑い	name:ドラゴンマガジン編集部|name:ロスト・ユニバース	
kame	merge_all	year_SAME_READING	2	かめ! || カメ		page1『かめ!』ながいさわこ5巻(講談社モーニング連載)とpage2『カメ』3巻1995は同一作。Wikipediaによりかめ!は1995モーニング連載開始・全5巻でvol1-3が1995刊=カタカナ表記揺れの同作。mangaz/Wikipedia かめ!。	版違い疑い	name:ながいさわこ|name:かめ!	
mars	different_works	year_DIFF_READING	3	マルス || MARS || マーズ		3作とも別作者の別作品。『マルス』本島幸久=蒼き神話マルス(競馬,週刊少年マガジン)/『MARS』惣領冬実=別冊フレンドの恋愛漫画全15巻/『マーズ』横山光輝1976=旧作。読みも作者も全て異なる。Wikipedia 蒼き神話マルス/MARS(漫画)。	ISBN確認	name:はしもとさかき|name:マルスqid:Q469923|name:MARSqid:Q471133|name:マーズ	
shihonron	subseries	year_SAME_READING	2	資本論 || 資本論		両page共イースト・プレス『まんがで読破』資本論(バラエティ・アートワークス企画,マルクス原作)。2008刊『資本論』と2009刊『続・資本論』の正編/続編関係でauthor表記違い(漫画studio vs 原作者)。mangadedokuha 024/025、続・資本論ネットオフ。	same_pub	name:バラエティ・アートワークス|name:資本論name:マルクス|name:資本論	
cream-lemon	different_works	year_DIFF_READING	2	くりいむレモン || くりいむレモン		page1『くりいむレモン』フェアリーダスト7巻=アダルトアニメのフィルムコミック/アンソロジー(読みクリイム)。page2 みばし・あやこ2巻(読みクリーム)は別作画家の個別漫画。同フランチャイズだが別作者・別読み・別形態で同一作でない。Wikipedia くりいむレモン/Amazon フェアリーダスト。	ISBN確認	name:みばし・あやこ|name:くりいむレモン	
kuriimu-lemon	different_works	year_DIFF_READING	2	くりいむレモン || くりいむレモン		page1『くりいむレモン』フェアリーダスト7巻=アダルトアニメのフィルムコミック/アンソロジー(読みクリイム)。page2 みばし・あやこ2巻(読みクリーム)は別作画家の個別漫画。同フランチャイズだが別作者・別読み・別形態で同一作でない。Wikipedia くりいむレモン/Amazon フェアリーダスト。	ISBN確認	name:フェアリーダスト|name:くりいむレモン	
generous	different_works	year_SAME_READING	6	GENEROUS || GENEROUS || GENEROUS || GENEROUS || GENEROUS || GENEROUS		『GENEROUS』(ガストコミックス)はBLアンソロジー誌で江上奨/天野かおる/Fuji Shinichi/栗栖ひとみ等多数作家が各巻を担当。各pageは別作家の別アンソロジー巻で単一作品に統合不可。Amazon ガストコミックス GENEROUS各巻/otakurepublic。	ISBN確認	name:ふじしんいち|name:GENEROUSname:栗栖ひとみ|name:GENEROUSqid:Q11278712|name:GENEROUSqid:Q11442455|name:GENEROUSqid:Q11622621|name:GENEROUSqid:Q974911|name:GENEROUS	REKEYED
joker	different_works	year_SAME_READING	9	ジョーカー || Joker || JOKER || JOKER || JOKER || JOKER || JOKER || ジョーカー || Joker		同題JOKERの複数別作品が混在。ブライアン・アザレロ=米Batman:Joker邦訳(2011)/河奈マリオ=KADOKAWA Asuka(1998)/斎田晴子(2012)/道原かつみ/野村あきこ/本田優貴等。全て別作者の同名異作。Wikipedia ジョーカー(バットマン)/JOKERマージナル等。	ISBN確認	name:ブライアン・アザレロ|name:ジョーカーname:河奈マリオ|name:Jokername:斎田晴子|name:JOKERqid:Q11438857|name:女〔女咼〕qid:Q11469541|name:JOKERqid:Q11645526|name:JOKERqid:Q11677457|name:JOKERqid:Q17220347|name:JOKERqid:Q24045825|name:ジョーカーqid:Q9016503|name:Joker	
idol-densetsu-eriko	option2	year_SAME_READING	2	アイドル伝説えり子 || アイドル伝説えり子		『アイドル伝説えり子』は同アニメの2コミカライズが存在=北島洋子版(小学館,全1巻)と河原歩版(角川ASUKA,全3巻)。page1(ぶらざあのっぽ=アニメ制作credit,3巻)=河原歩版、page2(1巻)=北島洋子版。原作共通で作画家別の複数漫画化。Wikipedia アイドル伝説えり子。	diff_pub	name:ぶらざあのっぽ|name:アイドル伝説えり子qid:Q108776608|name:アイドル伝説えり子	
ace	different_works	year_DIFF_READING	4	エース! || エイス || エース!! || エース-ACE-		別作者の同名/類似異作。『エイス』伊図透(講談社モーニング・ツー,2013)/『エース!!』佐藤文彦(1990)/『エース!』(1985,4巻)/『エース-ACE-』(1996,5巻)。読み・年代・作者すべて異なる。Wikipedia/講談社 エイス。	ISBN確認	qid:Q11382324|name:エース!name:佐藤文彦|name:エース!!qid:Q958269|name:エース!-ACE-	SPLIT_SUBSET
eighth	different_works	year_DIFF_READING	4	エース! || エイス || エース!! || エース-ACE-		別作者の同名/類似異作。『エイス』伊図透(講談社モーニング・ツー,2013)/『エース!!』佐藤文彦(1990)/『エース!』(1985,4巻)/『エース-ACE-』(1996,5巻)。読み・年代・作者すべて異なる。Wikipedia/講談社 エイス。	ISBN確認	name:伊図透|name:エイス	SPLIT_SUBSET
etchi	different_works	year_SAME_READING	2	えっち || H!		page1『えっち』仙道ますみ(集英社ヤングジャンプ,ホーム社=imprint credit,9→14巻)とpage2『H!』(1巻1998)は別題・別作。タイトルも巻数も異なる別作品。bookwalker えっち 仙道ますみ。	ISBN確認	name:ホーム社|name:えっち	SPLIT_SUBSET
h	different_works	year_SAME_READING	2	えっち || H!		page1『えっち』仙道ますみ(集英社ヤングジャンプ,ホーム社=imprint credit,9→14巻)とpage2『H!』(1巻1998)は別題・別作。タイトルも巻数も異なる別作品。bookwalker えっち 仙道ますみ。	ISBN確認	qid:Q11583953|name:H!	SPLIT_SUBSET
sugoiyo-masaru-san	merge_all	year_SAME_READING	2	すごいよ!!マサルさん || すごいよ!!マサルさん		両page共うすた京介『セクシーコマンドー外伝 すごいよ!!マサルさん』(集英社)。author『ホーム社』は集英社系imprint credit。6巻(文庫/再録版)と11巻(別edition)で同一作の版違い。Wikipedia/集英社 すごいよ!!マサルさん。	ISBN確認	qid:Q3201024|name:すごいよ!!マサルさん	REKEYED
teppen	different_works	year_SAME_READING	5	てっぺん || てっぺん || てっぺん || てっぺん! || てっぺん		同題てっぺんの複数別作が混在。来賀友志・嶺岸信明=麻雀漫画(竹書房,全5巻,1994)/日下直子=ヒーローズ(2017,別作)/ホーム社credit(集英社系)11巻1994・10巻1993は別系統/『てっぺん!』(2008)も別作。別作者の同名異作。Wikipedia てっぺん(来賀友志・嶺岸信明)/日下直子 てっぺん。	ISBN確認	name:ホーム社|name:てっぺんname:日下直子|name:てっぺんname:来賀友志|name:てっぺん|sub:卓上の獣道qid:Q11542017|name:てっぺん!qid:Q24045825|name:てっぺん	
aoki-honoo	different_works	year_SAME_READING	2	蒼き炎 || 青き炎		別作・別作者の同音異作。蒼き炎=石川サブロウ(明治期の画家もの、ホーム社/集英社系、cmoa)/青き炎=柳沢きみお(ヤングサンデー、裏社会もの全6巻、ja.wikipedia 青き炎(漫画))。漢字も内容も作者も異なる。merge不可、接尾辞で区別。	ISBN確認	name:ホーム社|name:蒼き炎qid:Q6410148|name:青き炎	
yume-de-aetara	different_works	year_SAME_READING	4	夢で逢えたら || 夢であえたら || 夢で逢えたら || 夢で逢えたら		同読み複数別作。夢で逢えたら=山花典之(ビジネスジャンプ/集英社ホーム社系、16-17巻、1994、ja.wikipedia)と小椋冬美(りぼん、1巻、1985、shueisha.co.jp)等、別作者の無関係作が混在。merge不可。	ISBN確認	name:ホーム社|name:夢で逢えたらqid:Q1096358|name:夢であえたらqid:Q11462110|name:夢で逢えたらqid:Q9050641|name:夢で逢えたら	
bara-to-ookami	different_works	year_SAME_READING	2	薔薇と狼 || 薔薇とオオカミ		別作。薔薇と狼=マーゴ・マグワイア原作/牧あけみ作画のハーレクイン(2巻、2011、harlequin.co.jp)/薔薇とオオカミ=柚月純の講談社別冊フレンド作(3巻、2012、cmoa)。題・作者・出版社すべて異なる。	ISBN確認	name:マーゴ・マグワイア|name:薔薇と狼qid:Q24896917|name:薔薇とオオカミ	
gochisou-hiyori	merge_all	year_SAME_READING	3	ごちそう日和 || ごちそう日和 || ごちそう日和		[ISBN/出版社裁定] 「ごちそう日和」(まつもとあやか他)はグルメ漫画系だが、検索では類似誌「ごはん日和」(ぶんか社、複数作家アンソロジー)しか確認できず、同題3エントリが同一単独作か別物かの外部確証が取れない。憶測merge回避。	ISBN確認	name:まつもとあやか|name:ごちそう日和	
kinkyori-love	different_works	year_SAME_READING	3	近キョリ恋愛 || 近距離恋愛 || 近距離恋愛		別作。近キョリ恋愛=みきもと凜(講談社別冊フレンド、全10巻、2007、ja.wikipedia)/近距離恋愛=朝比奈ゆうや等の別作(2000-2001、cmoa)。題表記も作者も異なる。	ISBN確認	name:みきもと凛|name:近キョリ恋愛qid:Q11552274|name:近距離恋愛qid:Q3274618|name:近距離恋愛	
elisabeth	different_works	year_SAME_READING	2	エリザベート || エリザベート		原作元が異なる別系統の漫画化。塚本哲也(伝記『エリザベート ハプスブルク家最後の皇女』)を原作とする漫画(水野英子CREA版/名香智子マンガ皇妃エリザベート、books.bunshun/kodansha)と、ミヒャエル・クンツェ(宝塚ミュージカル『エリザベート』作者、ja.wikipedia)系は別原作。同一漫画の確証なく接尾辞で区別が安全。	ISBN確認	name:ミヒャエル・クンツェ|name:エリザベートname:塚本哲也|name:エリザベート	
himitsu-no-hanazono	different_works	year_SAME_READING	10	ヒミツの花園 || 秘密の花園 || ひみつの花園 || ひみつの花園 || 秘密のは・な・ぞ・の || 秘密の花園 || 秘密の花園 || 秘密の花園 || ひみつの花園 || 秘密の花園		同読みの無関係多作品の衝突。秘密の花園は和泉かねよし(ja.wikipedia)・藤井みほな(りぼん、cmoa)等複数の別作者作、ヒミツの花園=めぐみ京香(ドラマコミック、永田優子原作、amazon)、他に1984/1990/2003等の別作も混在。汎用題のため一括merge不可。	ISBN確認	name:めぐみ京香|name:ヒミツの花園qid:Q11278399|name:秘密の花園qid:Q11500003|name:ひみつの花園qid:Q11523608|name:ひみつの花園qid:Q11657721|name:秘密のは・な・ぞ・のqid:Q11659711|name:秘密の花園qid:Q1324685|name:秘密の花園qid:Q20040452|name:秘密の花園qid:Q45819818|name:ひみつの花園qid:Q6139039|name:秘密の花園	
haunted-campus	merge_all	year_SAME_READING	2	ホーンテッド・キャンパス || ホーンテッド・キャンパス		同一漫画の役割別著者表記。ホーンテッド・キャンパス漫画版=吉田宙丸(漫画)/櫛木理宇(原作小説)/ヤマウチシズ(キャラクター原案)、角川、2015、同一作(cmoa/bookwalker/ja.wikipedia)。両エントリは原作者とキャラ原案者で割れただけの同一作。	版違い疑い	name:櫛木理宇|name:ホーンテッド・キャンパス	
face	different_works	year_SAME_READING	5	フェイス || Face || フェイス || フェイス || Face		汎用題の別作多数。フェイス=ゆきもりりょう(探偵もの、booklive)/Face=逢坂みや(ビブロスBL、1998、chil-chil)/フェイス=伊藤悶 等、作者も内容も無関係。merge不可。	ISBN確認	name:ゆきもりりょう|name:フェイスname:逢坂みや|name:Facename:伊藤悶|name:フェイスqid:Q108109398|name:フェイス|sub:背徳の囁きqid:Q11392400|name:Face	
lion-heart	different_works	year_SAME_READING	3	ライオンハート || ライオン・ハート || ライオン・ハート		別作。ライオンハート=ゆでたまご(月刊少年ガンガン、全5巻、1994、ja.wikipedia)と、別の単巻ライオン・ハート(1993等、blank著者)は無関係。汎用題の同音衝突。	ISBN確認	name:ゆでたまご|name:ライオンハートqid:Q11394193|name:ライオン・ハートqid:Q3514157|name:ライオン・ハート|sub:優しい牙に恋して	
madan-no-ou-to-vanadis	merge_all	year_SAME_READING	2	魔弾の王と戦姫 || 魔弾の王と戦姫		同一漫画の役割別著者表記。魔弾の王と戦姫漫画版=柳井伸彦(作画)/川口士(原作)/よし☆ヲ(キャラクター原案)、MFコミックスフラッパー、2011-(amazon/ja.wikipedia)。両エントリは原作者とキャラ原案者で割れた同一作。	版違い疑い	name:よし☆ヲ|name:魔弾の王と戦姫	
mazinger-z-tai-transformer	different_works	year_DIFF_READING	2	トランスフォーマー:ロボッツ・イン・ディスガイズ || マジンガーZ対トランスフォーマー	トランスフォーマー:ロボッツ・イン・ディスガイズ	別作の読み衝突。マジンガーZ対トランスフォーマー=永井豪原作のクロスオーバー(2019、ヴィレッジブックス、natalie)と、トランスフォーマー:ロボッツ・イン・ディスガイズ=リビオ・ラモンデッリ(米コミック邦訳、2020)は別作品。	同社別作	name:リビオ・ラモンデッリ|name:トランスフォーマー:ロボッツ・イン・ディスガイズqid:Q11626418|name:マジンガーZ対トランスフォーマー	
puzzle	different_works	year_DIFF_READING	3	パズル || パズル || Puzzle+		汎用題の別作。パズル=山田悠介原作/三部けい作画(角川、2007、bookwalker)、パズル=わたなべえみ(2004、別作)、Puzzle+(別題)は無関係。読みも著者も異なる。	ISBN確認	name:わたなべえみ|name:パズルname:山田悠介|name:パズルqid:Q11619414|name:Puzzle+	
fire-emblem	different_works	year_SAME_READING	4	ファイアーエムブレム || ファイアーエムブレム || ファイアーエムブレム || ファイアーエムブレム		同ゲームの別コミカライズ群。FE漫画は佐野真砂輝&わたなべ京版(増刊ASUKA、1992、全12巻、ja.wikipedia)・島田ひろかず版・箱田真紀版等が各々独立。任天堂名義や別作者の各版は別作品で、一括merge不可(別ページ)。	ISBN確認	name:わたなべ京|name:ファイアーエムブレムname:任天堂|name:ファイアーエムブレム|sub:聖戦の系譜qid:Q11260369|name:ファイアーエムブレム 聖戦の系譜qid:Q11260369|name:ファイアーエムブレム|sub:聖戦の系譜qid:Q11359703|name:ファイアーエムブレム 風の魔道士qid:Q11476838|name:ファイアーエムブレムqid:Q11516343|name:ファイアーエムブレム 聖戦の系譜	
zero	different_works	year_SAME_READING	3	ゼロ || Zero || Zero		77巻『ゼロ』=愛英史/里見桂『ゼロ THE MAN OF THE CREATION』(集英社、全78巻)と確認(bookwalker/wikipedia)。他2page(著者空欄の2009年6巻・0巻ZERO断片)は同一作と確証できず。保守原則で別作扱い。	ISBN確認	name:愛英史|name:ゼロqid:Q1504165|name:ZEROqid:Q5362768|name:ZERO	
jihad	different_works	year_SAME_READING	2	Jihad || ジハード		伊月慶悟/里見桂『JIHAD<聖戦>』(全5巻)と、定金伸治/山根和俊『ジハード』(集英社JC、1993、全2巻)は別作者・別作(cmoa/amazon)。	ISBN確認	name:伊月慶悟|name:Jihadname:定金伸治|name:ジハード	
maria	different_works	year_SAME_READING	7	マリア || マリア || Maria || マリア || 摩莉亜 || ま・り・あ || マリア		伊庭晋太郎/土山しげる『マリア』(マンサンC、1991)、吉沢潤一/井口達也『マリア』(秋田書店、2015、全5巻)、他『摩莉亜』『ま・り・あ』等は全て別作者の同名異作(amazon/cmoa)。	ISBN確認	name:伊庭晋太郎|name:マリアname:井口達也|name:マリアqid:Q11276104|name:Mariaqid:Q11557567|name:マリアqid:Q20042291|name:摩莉亜qid:Q229724|name:ま・り・あqid:Q844082|name:マリア	
dear	different_works	year_DIFF_READING	3	Dear || Dear! || dear		伊藤ゆう『Dear』(講談社別冊フレンド、1991、全2巻)と、『Dear!』(2010)、ディア読みの『dear』(12巻,2003)は別作者・別読み・別作(kodansha/bookmeter)。	ISBN確認	name:伊藤ゆう|name:Dearqid:Q11279020|name:Dear!qid:Q873283|name:dear	
katte-ni-shiyagare	different_works	year_SAME_READING	5	勝手にしやがれ! || 勝手にしやがれ! || 勝手にしやがれ || 勝手にしやがれ || 勝手にしやがれ		『勝手にしやがれ』は羽柴紀子(1996)・槇村さとる・四谷シモーヌ等、複数の別作者による同名異作が存在(amazon/cmoa)。偶然同名。	ISBN確認	name:羽柴紀子|name:勝手にしやがれ!qid:Q11541939|name:勝手にしやがれ!qid:Q11606236|name:勝手にしやがれqid:Q16263692|name:勝手にしやがれqid:Q17350012|name:勝手にしやがれ	
ring	different_works	year_SAME_READING	5	リング || RiNG || リング || RING || リング		永井幸二郎『リング』(1996)、市野治美『RiNG』(1992,全7巻)、鈴木光司原作のホラー漫画化『リング』(2005)等、別作者の同名異作群(wikipedia/cmoa)。	ISBN確認	name:永井幸二郎|name:リングname:市野治美|name:RiNGname:鈴木光司|name:リングqid:Q1040463|name:RINGqid:Q11596472|name:リング	
ultra-seven	different_works	year_SAME_READING	3	ウルトラセブン || ウルトラセブン || ウルトラセブン		『ウルトラセブン』は円谷プロ監修の複数漫画化(桑田次郎版等)。巻構成が3巻/11巻と異なり別作画家・別版の可能性が高く同一作と確証できないため別作扱い(bookwalker/m-78.jp)。	ISBN確認	name:円谷プロダクション|name:ウルトラセブンqid:Q11352635|name:ウルトラセブンqid:Q11537576|name:ウルトラセブン	
bless	different_works	year_SAME_READING	4	ブレス || ブレス || ブレス || BREATH		園山ゆきの『ブレス』(講談社マガジンエッジ、2022、全8巻)と、著者空欄の『ブレス』(1992/1993各1巻)、『BREATH』(1999,2巻)は別作者・別作(kodansha/mechacomic)。	ISBN確認	name:園山ゆきの|name:ブレスqid:Q11363888|name:ブレスqid:Q11651076|name:ブレス	SPLIT_SUBSET
breath	different_works	year_SAME_READING	4	ブレス || ブレス || ブレス || BREATH		園山ゆきの『ブレス』(講談社マガジンエッジ、2022、全8巻)と、著者空欄の『ブレス』(1992/1993各1巻)、『BREATH』(1999,2巻)は別作者・別作(kodansha/mechacomic)。	ISBN確認	qid:Q608806|name:BREATH	SPLIT_SUBSET
ijigen-no-sekai-eruhazaado	merge_all	year_SAME_READING	2	異次元の世界エルハザード || 異次元の世界エルハザード		両page共『異次元の世界エルハザード』(ソニー・マガジンズC、1998、全2巻、TVアニメ版コミカライズ)で同一作。著者表記揺れ(可知秀幸/桂木すずし)だが題・年・巻数(2)・出版社が一致(bookoff/tsutaya/kadokawa)。※アニメコミック=scope上drop候補だが同一性はmerge。	ISBN確認	name:可知秀幸|name:異次元の世界エルハザード	
hirari-pure-yuri-anthology	merge_all	year_SAME_READING	3	ひらり、 ピュア百合アンソロジー || ひらり、 ピュア百合アンソロジー || ひらり、 ピュア百合アンソロジー		3page全て新書館『ピュア百合アンソロジー ひらり、』(2010-2014,vol.1-14)の各巻。芥文絵は多数寄稿者の一人で著者欄に揺れ。同一アンソロジーシリーズ(shinshokan/wikipedia)。※アンソロジー=scope上drop候補。	ISBN確認	name:芥文絵|name:ひらり、 ピュア百合アンソロジー	
saboten	different_works	year_SAME_READING	3	仙人掌 || さぼてん || サボテン		間中信行『仙人掌(サボテン)』(講談社ヤングマガジンC、1994、全2巻)と、著者空欄の『さぼてん』(1999,1巻)『サボテン』(1995,2巻)は別作者・別作(kodansha/amazon)。	ISBN確認	name:間中信行|name:仙人掌qid:Q11274926|name:さぼてんqid:Q469923|name:サボテン	
meitantei-conan-junkoku-no-nightmare	merge_all	year_SAME_READING	2	名探偵コナン純黒の悪夢 || 名探偵コナン純黒の悪夢		両page共『名探偵コナン 純黒の悪夢』(小学館少年サンデーC、2016-17、全2巻、青山剛昌原作/阿部ゆたか・丸伝次郎作画の劇場版コミカライズ)。丸伝次郎は作画者の一人で同一作(shogakukan/cmoa)。※劇場版コミカライズ=scope上drop候補。	ISBN確認	name:丸伝次郎|name:名探偵コナン純黒の悪夢	
eiyuu-kyoushitsu	subseries	year_SAME_READING	2	英雄教室 || 英雄教室		新木伸原作。岸田こあら作画『英雄教室』本編(21巻)と、満月シオン作画『英雄教室 -ガールズミッション-』(スピンオフ、2017-19、2巻)は別作画のスピンオフ関係(wikipedia/cmoa/ganganonline)。副題で別ページ。	diff_pub	name:岸田こあら|name:英雄教室name:満月シオン|name:英雄教室|sub:ガールズミッション	
love-letter	different_works	year_DIFF_READING	7	ラヴレター || ラブレター || ラブレター || ラブ・レター || ラブレター || ラブレター || ラブレター		岩井俊二『ラヴレター』(角川、1995、映画ノベライズ)と、著者空欄のラブレター読み単巻群(1985/1989/2002/2007/2008)は別読み・別作者の無関係作の混在(kadokawa/wikipedia)。	ISBN確認	name:岩井俊二|name:ラヴレターqid:Q11670967|name:ラブ・レター	SPLIT_SUBSET
raburetaa	different_works	year_DIFF_READING	7	ラヴレター || ラブレター || ラブレター || ラブ・レター || ラブレター || ラブレター || ラブレター		岩井俊二『ラヴレター』(角川、1995、映画ノベライズ)と、著者空欄のラブレター読み単巻群(1985/1989/2002/2007/2008)は別読み・別作者の無関係作の混在(kadokawa/wikipedia)。	ISBN確認	qid:Q11414230|name:ラブレターqid:Q11668955|name:ラブレターqid:Q16263860|name:ラブレターqid:Q20042291|name:ラブレターqid:Q3089616|name:ラブレター	SPLIT_SUBSET
help	different_works	year_SAME_READING	4	HELP || Help! || HELP || HELP!!		岩尾収蔵のHELPはアンソロジー『ホラーオカルト競作大全集 HELP』(BookOff)。他のHelp!(1993)/HELP(1988)/HELP!!(2004)は別著者・別出版社の無関係作。偶然同音。	ISBN確認	name:岩尾収蔵|name:HELPqid:Q11488393|name:Help!qid:Q11489301|name:HELPqid:Q11623533|name:HELP!!	
suikoden	different_works	year_SAME_READING	6	水滸伝 || 水滸伝 || 水滸伝 || 水滸伝 || 水滸伝 || 水滸伝		水滸伝(古典)の複数別個漫画化: 横山光輝版/久保田千太郎原作・沼田清画/北方謙三原作・井上紀良画/陳維東/李志清。著者全て異なり別作品(ja.wikipedia 水滸伝(漫画))。接尾辞で区別。	ISBN確認	name:久保田千太郎|name:水滸伝name:陳維東|name:水滸伝name:北方謙三|name:水滸伝name:李志清|name:水滸伝qid:Q2661273|name:水滸伝qid:Q471133|name:水滸伝	
kasuga-no-tsubone	different_works	year_SAME_READING	5	春日局 || 春日局 || 春日局 || 春日局 || 春日の局		堀和久原作・久松文雄画の春日局(cmoa)と、橋田寿賀子(NHK大河1989脚本)別系統、早乙女貢原作・横山まさみち画版等、別著者の複数別作品。偶然同音・別作。	ISBN確認	name:橋田寿賀子|name:春日局name:堀和久|name:春日局qid:Q11542475|name:春日局qid:Q256425|name:春日局qid:Q6883357|name:春日の局	
border	different_works	year_SAME_READING	3	BORDER || ボーダー || ボーダー		金城一紀原作・小手川ゆあ画のBORDER(2013-14,4巻,ja.wikipedia BORDER(金城一紀))と、1986年12巻のボーダーは全く別の旧作。著者一致せず別作。	ISBN確認	name:金城一紀|name:BORDERqid:Q11562011|name:ボーダーqid:Q2077268|name:ボーダー	
go	different_works	year_DIFF_READING	2	GO || 吾		金城一紀原作・近藤佳文画のGO(ゴウ,2002,秋田書店)と、14巻の『吾』(ゴ)は読みも異なる別作品。DIFF_READING。	ISBN確認	name:金城一紀|name:GOqid:Q1504165|name:吾	
get	different_works	year_SAME_READING	2	Get! || GET!		金沢有倖のGet!(2000)と空著者GET!(1999)は別。WikipediaのGET!は東まゆみ(1998サッカー漫画)とさらに別。複数別著者の同音異作。	ISBN確認	name:金沢有倖|name:Get!qid:Q2606338|name:GET!	
meitantei-asami-mitsuhiko-ando-ryojou-mystery-comic-selection	merge_all	year_SAME_READING	5	名探偵浅見光彦＆旅情ミステリーコミックセレクション || 名探偵浅見光彦＆旅情ミステリーコミックセレクション || 名探偵浅見光彦＆旅情ミステリーコミックセレクション || 名探偵浅見光彦&旅情ミステリーコミックセレクション || 名探偵浅見光彦＆旅情ミステリーコミックセレクション		『名探偵浅見光彦＆旅情ミステリーコミックセレクション』は内田康夫原作の単一アンソロジー・セレクションシリーズ。月嶋つぐ美/市橋一美/飯島淳子等は各巻の寄稿作画者で同一シリーズ(ぶんか社系まんがアンソロジー)。	ISBN確認	qid:Q11615449|name:名探偵浅見光彦＆旅情ミステリーコミックセレクション	
mobile-butouden-jii-gundam	merge_all	year_SAME_READING	2	機動武道伝Gガンダム || 機動武闘伝Gガンダム		ときた洸一作画・矢立肇/富野由悠季原作のGガンダム漫画。1995年2巻=コミックボンボン版原本、2003年版=新装版/プラチナコミックス(kodansha)。武道/武闘は誤字。同一作画者の同一漫画化(版違い)。	版違い疑い	name:矢立肇|name:機動武闘伝Gガンダム	
junk	different_works	year_SAME_READING	3	JUNK || ジャンク || JUNK		戸井十月原作のJUNK-ジャンク-(土光てつみ画)と、麻宮騎亜のJUNK -RECORD OF THE LAST HERO-(2004-07,ja.wikipedia)は別作。著者異なる同音異作。	ISBN確認	name:戸井十月|name:JUNKqid:Q11280869|name:ジャンクqid:Q731579|name:JUNK	
step	different_works	year_SAME_READING	3	ステップ || Step || STEP-ステップ-		五条敏のステップ(1993)、柊あおいのSTEP、重松清原作ステップ等、別著者の複数同音異作。Step(1991)/STEP-ステップ-(1993)も別。	ISBN確認	name:五条敏|name:ステップqid:Q545241|name:Stepqid:Q837487|name:STEP-ステップ-	
tokugawa-yoshinobu	merge_all	year_SAME_READING	2	徳川慶喜 || 徳川慶喜		徳川慶喜(五島慎太郎,1997,2巻)と空著者(1997,1巻)は同題・同年・巻連続で計3巻。競合著者なし(空=著者欠落record)で同一作の巻分割と判断。山岡荘八版/原田久仁信版は別系統で本群に含まれず。	版違い疑い	name:五島慎太郎|name:徳川慶喜	
neiru-chan-to-fukazume-san	merge_all	year_SAME_READING	2	ネイルちゃんと深爪さん。 || ネイルちゃんと深爪さん。		『ネイルちゃんと深爪さん。』は七坂なな/桜木晶/河合朗/香川悠作等多数作画の全3冊アンソロジーシリーズ(cmoa series31495,mangazenkan 全3冊)。香川悠作はその寄稿者。同一シリーズ。	ISBN確認	name:香川悠作|name:ネイルちゃんと深爪さん。	REKEYED
houshin-kenbunroku	merge_all	year_SAME_READING	2	封神見聞録 || 封神見聞録		封神見聞録(高橋果甫,1997,2巻)と空著者(1997,1巻)は同題・同年で計3巻。高橋果甫は実在漫画家。競合著者なしで同一作の巻分割と判断。封神演義(藤崎竜)とは別題で混入なし。	ISBN確認	name:高橋果甫|name:封神見聞録	
heaven	different_works	year_DIFF_READING	8	Heaven || HEAVEN || HEAVEN || Heaven || HEAVEN! || Heaven!! || ヘヴン || ヘヴン		高群保のHeaven(1993)、佐々木倫子のHeaven?等、年代(1993/2000/2001/2003/2005/2007)も著者も異なる多数の同音異作。DIFF_READING(ヘブン/ヘヴン)。無関係。	ISBN確認	name:高群保|name:Heavenqid:Q1142135|name:HEAVENqid:Q11573143|name:HEAVENqid:Q2601844|name:Heavenqid:Q6381457|name:HEAVEN!qid:Q7499514|name:Heaven!!qid:Q8952464|name:ヘヴンqid:Q9201154|name:ヘヴン	
joker-game	partial	year_SAME_READING	2	ジョーカーゲーム || ジョーカー・ゲーム	ジョーカー・ゲーム	高村しづ版(2巻2014, KADOKAWA)は小説(柳広司)のコミカライズ。空欄1巻(2015)は霜月かよ子作画・渡辺雄介脚本の映画版コミカライズ(小学館ビッグコミックス)で別物(natalie/コミックナタリー)。原作同一だが片方は映画コミカライズ=別系統。	diff_pub	name:高村しづ|name:ジョーカーゲームqid:Q11660779|name:ジョーカー・ゲーム	
shinkyoku-soukai-porifonika	different_works	year_SAME_READING	3	神曲奏界ポリフォニカ || 神曲奏界ポリフォニカ || 神曲奏界ポリフォニカ		神曲奏界ポリフォニカは複数作家の別サブシリーズ群: 榊一郎系(本編/まぁぶる等)と高殿円系(エターナル・ホワイト等, 藤丘ようこ作画)は別ライン。同フランチャイズだが各々独立作品(ja.wikipedia/cmoa)。同一作の確証なし。	ISBN確認	name:高殿円|name:神曲奏界ポリフォニカname:榊一郎|name:神曲奏界ポリフォニカqid:Q10938181|name:神曲奏界ポリフォニカ	
nobara	merge_all	year_SAME_READING	2	野ばら || 野ばら		野ばらは高田築の短編集(HARTA/ビームコミックス, KADOKAWA, 2010刊, ISBN9784047267121)。両page同年2010・同題・同出版で同一作。空欄は著者欠落の同作(bookwalker/kadokawa)。	版違い疑い	name:高田築|name:野ばら	
